date,regime_phase,regime_score,regime_mode,path_a,path_b,max_position_pct,candidates,signals,fills,rejected,data_source,margin_trend,margin_strength,margin_bal_5d_pct,margin_bal_20d_pct,inst_flow,inst_net,inst_participation_pct,etf_appetite,etf_risk_spread,etf_large_chg,etf_small_chg,southbound_trend,sent_mkt_score,sent_mkt_label,sent_advance_pct,sent_breadth_pct,sent_limit_up,sent_limit_down,sent_cycle_stage,sent_cycle_scale,sent_cycle_advice,sent_confidence,sent_confidence_status,sent_extreme_state,sent_vel_1d,sent_vel_5d,llm_score,llm_label,sensor_risk_appetite,sensor_confidence,health_overall,lgbm_loaded,xgb_loaded,account_cash,account_positions,account_total_value,signal_symbols,signal_strategies,T1_return,T3_return,T5_return,max_dd_5d,benchmark_5d
2026-08-03,UNKNOWN,,UNKNOWN,,,,,,,,PRE_HEALTH_PROTOCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,2.38,,0.15,
2026-08-04,UNKNOWN,,UNKNOWN,,,,,,,,PRE_HEALTH_PROTOCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,2.03,,0.15,
2026-08-05,UNKNOWN,,UNKNOWN,,,,,,,,PRE_HEALTH_PROTOCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,0.15,
2026-08-06,UNKNOWN,,UNKNOWN,,,,,,,,PRE_HEALTH_PROTOCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,0.0,
2026-08-07,UNKNOWN,,UNKNOWN,,,,,,,,PRE_HEALTH_PROTOCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,0.0,
2026-08-08,退潮期,156,stop,False,False,0.0,0,0,0,0,AKSHARE_EOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,0,1000000.0,,,,,,,
2026-08-09,高潮期,82,normal,True,True,0.5,3,2,1,1,SIMULATOR,stable,43.9,1.2,-10.87,positive,749683.56,35.1,neutral,0.0,0.0,0,stable,50,数据不足,0,0,0,0,startup,0.5,"轻仓试错首板, 等龙头出现",50.0,neutral,normal,,,0,LLM异常: Expecting value: line 1 column,mixed,62.5,WARNING,False,False,927656.57,1,999981.2,"002230,000002","reseal,trend",,,,,
2026-08-10,退潮期,110,stop,False,False,0.0,0,0,0,0,AKSHARE_EOD,stable,44.9,1.29,-10.28,,,,neutral,0.0,0.0,0,stable,50,数据不足,0,0,0,0,startup,0.5,"轻仓试错首板, 等龙头出现",50.0,neutral,normal,0,,30,乐观,mixed,50.0,WARNING,False,False,1000000.0,0,1000000.0,,,-0.81,,,0.81,
2026-08-11,退潮期,208,stop,False,False,0.0,0,0,0,0,AKSHARE_EOD,stable,44.9,1.29,-10.28,positive,581843.16,33.4,neutral,-0.18,0.23,0.05,,70.9,🐂 乐观,48.4,71.9,68,34,ferment,0.8,"二板定龙, 重仓出击",75.0,favorable,normal,-5.1,,30,乐观,expanding,68.8,HEALTHY,False,False,1000000.0,0,1000000.0,,,0.58,,,0.0,
2026-08-12,退潮期,209,stop,False,False,0.0,0,0,0,0,AKSHARE_EOD,stable,48.7,1.76,-8.35,negative,-36740.13,34.2,recovering,0.98,0.28,1.25,stable,75.4,🔥 极乐,58.1,73.7,98,25,ferment,0.8,"二板定龙, 重仓出击",55.0,neutral,hot,25.4,,30,乐观,mixed,51.2,WARNING,False,False,1000000.0,0,1000000.0,,,-0.57,,,0.57,
